Stage 20 => Total: 384, Pass: 369, noPass: 15, PassRate: 0.960938
Stage 21 => Total: 369, Pass: 363, noPass: 6, PassRate: 0.983740
Stage 22 => Total: 363, Pass: 356, noPass: 7, PassRate: 0.980716
Stage 23 => Total: 356, Pass: 355, noPass: 1, PassRate: 0.997191
Stage 24 => Total: 355, Pass: 354, noPass: 1, PassRate: 0.997183
Stage 25 => Total: 354, Pass: 353, noPass: 1, PassRate: 0.997175
Stage 26 => Total: 353, Pass: 352, noPass: 1, PassRate: 0.997167
Stage 27 => Total: 352, Pass: 351, noPass: 1, PassRate: 0.997159
Stage 28 => Total: 351, Pass: 351, noPass: 0, PassRate: 1.000000
Stage 29 => Total: 351, Pass: 323, noPass: 28, PassRate: 0.920228
Stage 30 => Total: 323, Pass: 314, noPass: 9, PassRate: 0.972136
Stage 31 => Total: 314, Pass: 297, noPass: 17, PassRate: 0.945860
Stage 32 => Total: 297, Pass: 295, noPass: 2, PassRate: 0.993266
Stage 33 => Total: 295, Pass: 289, noPass: 6, PassRate: 0.979661
Stage 34 => Total: 289, Pass: 268, noPass: 21, PassRate: 0.927336
Stage 35 => Total: 268, Pass: 260, noPass: 8, PassRate: 0.970149
Stage 36 => Total: 260, Pass: 239, noPass: 21, PassRate: 0.919231
Stage 37 => Total: 239, Pass: 231, noPass: 8, PassRate: 0.966527
Stage 38 => Total: 231, Pass: 231, noPass: 0, PassRate: 1.000000

Scale: 2.441406, FrameSum: 7760, P: 118, N: 7642, PFrate: 0.015206
Stage 1 => Total: 7473, Pass: 1782, noPass: 5691, PassRate: 0.238458
Stage 2 => Total: 1782, Pass: 1109, noPass: 673, PassRate: 0.622334
Stage 3 => Total: 1109, Pass: 674, noPass: 435, PassRate: 0.607755
Stage 4 => Total: 674, Pass: 648, noPass: 26, PassRate: 0.961424
Stage 5 => Total: 648, Pass: 553, noPass: 95, PassRate: 0.853395
Stage 6 => Total: 553, Pass: 334, noPass: 219, PassRate: 0.603978
Stage 7 => Total: 334, Pass: 314, noPass: 20, PassRate: 0.940120
Stage 8 => Total: 314, Pass: 308, noPass: 6, PassRate: 0.980892
Stage 9 => Total: 308, Pass: 301, noPass: 7, PassRate: 0.977273
Stage 10 => Total: 301, Pass: 279, noPass: 22, PassRate: 0.926910
Stage 11 => Total: 279, Pass: 275, noPass: 4, PassRate: 0.985663
Stage 12 => Total: 275, Pass: 267, noPass: 8, PassRate: 0.970909
Stage 13 => Total: 267, Pass: 258, noPass: 9, PassRate: 0.966292
Stage 14 => Total: 258, Pass: 253, noPass: 5, PassRate: 0.980620
Stage 15 => Total: 253, Pass: 249, noPass: 4, PassRate: 0.984190
Stage 16 => Total: 249, Pass: 234, noPass: 15, PassRate: 0.939759
Stage 17 => Total: 234, Pass: 205, noPass: 29, PassRate: 0.876068
Stage 18 => Total: 205, Pass: 203, noPass: 2, PassRate: 0.990244
Stage 19 => Total: 203, Pass: 186, noPass: 17, PassRate: 0.916256
Stage 20 => Total: 186, Pass: 183, noPass: 3, PassRate: 0.983871
Stage 21 => Total: 183, Pass: 183, noPass: 0, PassRate: 1.000000
Stage 22 => Total: 183, Pass: 183, noPass: 0, PassRate: 1.000000
Stage 23 => Total: 183, Pass: 182, noPass: 1, PassRate: 0.994536
Stage 24 => Total: 182, Pass: 180, noPass: 2, PassRate: 0.989011
Stage 25 => Total: 180, Pass: 179, noPass: 1, PassRate: 0.994444
Stage 26 => Total: 179, Pass: 176, noPass: 3, PassRate: 0.983240
Stage 27 => Total: 176, Pass: 175, noPass: 1, PassRate: 0.994318
Stage 28 => Total: 175, Pass: 175, noPass: 0, PassRate: 1.000000
Stage 29 => Total: 175, Pass: 166, noPass: 9, PassRate: 0.948571
Stage 30 => Total: 166, Pass: 162, noPass: 4, PassRate: 0.975904
Stage 31 => Total: 162, Pass: 155, noPass: 7, PassRate: 0.956790
Stage 32 => Total: 155, Pass: 154, noPass: 1, PassRate: 0.993548
Stage 33 => Total: 154, Pass: 150, noPass: 4, PassRate: 0.974026
Stage 34 => Total: 150, Pass: 139, noPass: 11, PassRate: 0.926667
Stage 35 => Total: 139, Pass: 138, noPass: 1, PassRate: 0.992806
Stage 36 => Total: 138, Pass: 127, noPass: 11, PassRate: 0.920290
Stage 37 => Total: 127, Pass: 118, noPass: 9, PassRate: 0.929134
Stage 38 => Total: 118, Pass: 118, noPass: 0, PassRate: 1.000000

Scale: 3.051758, FrameSum: 3864, P: 48, N: 3816, PFrate: 0.012422
Stage 1 => Total: 3830, Pass: 978, noPass: 2852, PassRate: 0.255352
Stage 2 => Total: 978, Pass: 559, noPass: 419, PassRate: 0.571575
Stage 3 => Total: 559, Pass: 346, noPass: 213, PassRate: 0.618962
Stage 4 => Total: 346, Pass: 332, noPass: 14, PassRate: 0.959538
Stage 5 => Total: 332, Pass: 292, noPass: 40, PassRate: 0.879518
Stage 6 => Total: 292, Pass: 208, noPass: 84, PassRate: 0.712329
Stage 7 => Total: 208, Pass: 195, noPass: 13, PassRate: 0.937500
Stage 8 => Total: 195, Pass: 190, noPass: 5, PassRate: 0.974359
Stage 9 => Total: 190, Pass: 185, noPass: 5, PassRate: 0.973684
Stage 10 => Total: 185, Pass: 166, noPass: 19, PassRate: 0.897297
Stage 11 => Total: 166, Pass: 161, noPass: 5, PassRate: 0.969880
Stage 12 => Total: 161, Pass: 145, noPass: 16, PassRate: 0.900621
Stage 13 => Total: 145, Pass: 139, noPass: 6, PassRate: 0.958621
Stage 14 => Total: 139, Pass: 136, noPass: 3, PassRate: 0.978417
Stage 15 => Total: 136, Pass: 129, noPass: 7, PassRate: 0.948529
Stage 16 => Total: 129, Pass: 120, noPass: 9, PassRate: 0.930233
Stage 17 => Total: 120, Pass: 103, noPass: 17, PassRate: 0.858333
